tags,tag,score,Popularity,review,sum
ambitious female lead,ambitious female lead,7.2,7804.0,334.0,2
ambitious male lead,ambitious male lead,7.5,663.0,7453.5,2
amnesia,amnesia,7.73170731707317,1950.1707317073167,8441.975609756097,29
amnesia ,amnesia ,7.470000000000001,3339.3,6747.1,10
amusement park setting,amusement park setting,7.0,2442.0,2168.0,2
android,android,8.3,85.0,25332.0,1
angel female lead,angel female lead,7.6,188.0,17816.0,1
angel male lead,angel male lead,7.7,1023.0,3250.0,1
anger issues,anger issues,7.0,648.0,5883.0,1
animal,animal,7.959999999999999,1484.0,6288.8,1
animal abuse,animal abuse,8.45,420.5,12824.5,2
animal death,animal death,7.75,2736.5,965.0,2
announcer female lead,announcer female lead,7.5,3404.0,743.0,1
anthology,anthology,7.6,3486.6666666666665,4369.0,3
anti-fan,anti-fan,7.5,842.0,6197.0,1
antihero,antihero,7.752631578947367,2337.2631578947367,5854.368421052632,16
antihero ,antihero ,8.100000000000001,4314.0,7426.5,2
antisocial personality disorder,antisocial personality disorder,8.4,562.3333333333334,15848.0,3
anxiety,anxiety,7.733333333333334,913.6666666666666,12334.666666666666,1
app developer,app developer,8.1,56.0,36309.0,1
apparent death,apparent death,7.4,2691.0,800.0,1
aquaphobia,aquaphobia,7.6,733.0,5220.0,1
archaeologist male lead,archaeologist male lead,7.5,1432.0,1823.0,1
archery,archery,6.9,4360.0,256.0,1
architecture industry,architecture industry,7.15,3226.5,8002.5,1
architecture industry ,architecture industry ,7.8,275.0,15826.0,1
aristocrat,aristocrat,7.7,992.0,2462.0,1
army officer,army officer,8.2,709.0,5415.0,1
arranged marriage,arranged marriage,7.82,1837.4,7185.4,5
arrogant male lead,arrogant male lead,7.53125,1772.4117647058824,7651.5,16
arrogant male lead ,arrogant male lead ,8.0,338.0,11760.0,1
art,art,8.015767634854772,1511.851851851852,10714.589211618257,4
art restoration,art restoration,7.9,1678.0,1699.0,1
artificial intelligence,artificial intelligence,7.999999999999999,340.8333333333333,17350.5,6
