tag,0
tearjerker,tearjerker
adventure,adventure
supportive girlfriend,supportive girlfriend
mental illness ,mental illness 
family relationship,family relationship
infidelity,infidelity
terminal illness ,terminal illness 
bittersweet ending,bittersweet ending
terminal illness,terminal illness
countryside setting,countryside setting
transfer student,transfer student
coming of age,coming of age
drama ,drama 
hidden past,hidden past
lovers separated,lovers separated
second chance romance ,second chance romance 
opposites attract,opposites attract
ballet,ballet
religious female lead,religious female lead
immature male lead,immature male lead
rich man/poor woman,rich man/poor woman
church setting ,church setting 
school bullying,school bullying
sexual harassment,sexual harassment
sexual assault,sexual assault
ripley syndrome,ripley syndrome
antihero,antihero
mistaken identity,mistaken identity
precognition,precognition
successful male lead,successful male lead
female chases male first ,female chases male first 
web series ,web series 
manipulative female lead,manipulative female lead
evil mother,evil mother
loneliness,loneliness
antihero ,antihero 
artist,artist
interspecies romance,interspecies romance
political,political
missing person,missing person
robot,robot
identity swap,identity swap
android,android
cheerful male lead ,cheerful male lead 
boss-employee relationship,boss-employee relationship
journalism,journalism
news anchor,news anchor
death of a wife,death of a wife
reporter male lead,reporter male lead
single father male lead ,single father male lead 
war,war
slavery,slavery
good twin/evil twin,good twin/evil twin
political intrigue ,political intrigue 
female centered plot,female centered plot
father-in-law - daughter-in-law relationship,father-in-law - daughter-in-law relationship
news presenter male lead,news presenter male lead
foundation director female lead,foundation director female lead
mother-in-law - daughter-in-law relationship,mother-in-law - daughter-in-law relationship
married life,married life
ambitious female lead,ambitious female lead
popular male lead,popular male lead
society,society
conglomerate ,conglomerate 
astronaut female lead,astronaut female lead
outer space ,outer space 
car racing ,car racing 
national assembly,national assembly
nice male lead ,nice male lead 
shy male lead,shy male lead
school rivalry ,school rivalry 
child abuse,child abuse
abusive parents,abusive parents
anxiety,anxiety
childhood trauma,childhood trauma
hardworking male lead ,hardworking male lead 
betrayal,betrayal
sismance,sismance
friendship ,friendship 
abusive husband,abusive husband
nice stepmother ,nice stepmother 
psychology,psychology
teamwork,teamwork
hot-tempered female lead,hot-tempered female lead
orphan male lead ,orphan male lead 
actress female lead,actress female lead
pregnant female lead,pregnant female lead
flashback to past,flashback to past
wealth obsession,wealth obsession
impulsive male lead,impulsive male lead
evil mother-in-law ,evil mother-in-law 
fashion industry,fashion industry
workplace romance,workplace romance
clingy male lead ,clingy male lead 
babysitting,babysitting
"""childhood friends' relationship""","""childhood friends' relationship"""
rich woman/poor man,rich woman/poor man
based on true story,based on true story
badass female lead,badass female lead
store manager,store manager
misunderstanding,misunderstanding
slow burn romance ,slow burn romance 
injustice,injustice
slight comedy,slight comedy
violence,violence
detective male lead,detective male lead
street fight,street fight
gang,gang
violence ,violence 
stay at home dad,stay at home dad
house husband ,house husband 
boxing,boxing
morally ambiguous male lead,morally ambiguous male lead
childhood crush,childhood crush
mad dog,mad dog
benevolent father,benevolent father
thief,thief
policewoman,policewoman
lawyer supporting character,lawyer supporting character
country manipulation,country manipulation
detective,detective
family,family
crime,crime
infidelity ,infidelity 
baekje dynasty,baekje dynasty
silla dynasty,silla dynasty
king male lead,king male lead
princess female lead,princess female lead
royalty,royalty
birth secret ,birth secret 
long lost child,long lost child
japanese colonial rule,japanese colonial rule
