actor,cast,Popul,score
Choi Dae Chul,5,2229.4,7.58
Choi Dae Hoon,4,2064.25,8.166666666666668
Choi Dae Sung,1,2285.0,7.1
Choi Daniel,9,2320.3333333333335,7.475
Choi Deok Moon,3,34699.0,7.733333333333333
Choi Dong Joon,1,6970.0,7.9
Choi Gwi Hwa,3,2594.6666666666665,7.8
Choi Hee Seo,3,34035.333333333336,7.3999999999999995
Choi Hui Seung,1,1286.0,8.0
Choi Hwa Jung,2,2464.5,7.8
Choi Hye Jin,1,5949.0,
Choi Hyun Jin,1,1919.0,8.6
Choi Hyun Suk,1,2404.0,8.3
Choi Hyun Wook,1,505.0,8.8
Choi Il Hwa,5,25899.4,7.4
Choi Ja Hye,2,4297.0,7.550000000000001
Choi Jae Ho,1,10653.0,7.4
Choi Jae Hwan,1,7774.0,7.6
Choi Jae Rim,1,3049.0,7.6
Choi Jae Sub,1,522.0,7.6
Choi Jae Sung,4,33499.25,7.675
Choi Jae Won,1,99999.0,6.6
Choi Jae Woong,3,1104.3333333333333,8.0
Choi Ji Na,2,5949.0,7.800000000000001
Choi Ji Su,1,2253.0,7.4
Choi Ji Woo,9,3487.3333333333335,7.3999999999999995
Choi Jin Ho,3,224.33333333333334,8.6
Choi Jin Hyuk,14,8176.928571428572,7.828571428571429
Choi Jin Shil,3,39010.333333333336,7.666666666666667
Choi Jong Hwan,2,2940.5,7.25
Choi Jong Won,2,51345.0,7.550000000000001
Choi Joo Hee,1,4754.0,7.0
Choi Joon Yong,1,3179.0,7.6
Choi Jung Won,2,2630.5,7.35
Choi Jung Woo,7,2308.285714285714,7.985714285714286
Choi Jung Yoon,9,26826.0,7.377777777777776
Choi Kang Hee,10,12244.4,7.540000000000001
Choi Kwang Il,5,842.6,7.720000000000001
Choi Kwang Je,2,3208.5,8.0
Choi Kwon,1,174.0,8.2
Choi Kyu Hwan,3,67203.0,7.666666666666667
Choi Kyu Jin,2,1670.0,8.05
Choi Min,2,8148.111111111111,7.658823529411764
Choi Min Ho,5,1461.4,7.540000000000001
Choi Min Shik,1,7868.0,
Choi Min Soo,9,13672.111111111111,7.7555555555555555
Choi Min Yong,1,2422.0,8.1
Choi Moo Sung,3,727.3333333333334,8.366666666666665
Choi Moon Hee,1,9286.0,7.4
Choi Moon Seok,1,99999.0,
Choi Myung Gil,9,4962.444444444444,7.255555555555556
Choi Phillip,2,3275.0,7.5
Choi Ran,3,5213.666666666667,7.1000000000000005
Choi Ri,2,938.0,8.1
Choi Ro Woon,1,938.0,7.8
Choi Sang Hoon,1,99999.0,6.9
Choi Seung Kyung,1,7293.0,7.3
Choi Si Won,8,2570.75,7.6571428571428575
Choi Song Hyun,2,1575.0,7.4
Choi Soo Jong,7,20644.571428571428,7.714285714285714
Choi Soo Rin,3,3022.3333333333335,7.333333333333333
Choi Soo Young,10,2230.9,7.790000000000001
Choi Sun Ah,1,99999.0,10.0
Choi Sung Eun,2,229.0,8.600000000000001
Choi Sung Jae,2,8714.0,7.15
Choi Sung Won,1,459.0,7.4
Choi Won Tae,1,7377.0,6.9
Choi Won Young,14,8901.714285714286,7.892307692307693
Choi Woo Hyeok,1,99999.0,7.3
Choi Woo Suk,5,44845.6,6.92
Choi Woong,3,6641.0,7.366666666666667
Choi Ye Bin,1,1880.0,8.0
Choi Yeo Jin,11,2385.2727272727275,7.509090909090909
Choi Yeon Cheong,1,158.0,8.1
Choi Yong Min,1,3793.0,7.6
Choi Yoo Hwa,3,1344.3333333333333,8.0
Choi Yoon Je,1,709.0,8.2
Choi Yoon So,5,6071.4,7.56
Choi Yoon Young,5,3879.0,7.56
Choi Young Jae,1,641.0,7.9
Choo Ja Hyun,4,2444.25,8.166666666666666
Choo Seung Wook,1,2366.0,8.2
Choo So Young,1,11607.0,7.5
Choo Soo Hyun,1,548.0,7.5
Choo Young Woo,1,635.0,8.0
Chun Bo Geun,1,2359.0,7.9
Chun Ho Jin,11,972.3636363636364,8.254545454545454
Chun Jae Ho,1,3653.0,7.4
Chun Jung Myung,9,3337.8888888888887,7.2333333333333325
Chun Min Hee,1,133.0,7.9
Chun Woo Hee,3,1809.0,7.933333333333334
Clara Lee,2,1577.0,7.45
D.ana,1,5549.0,7.4
Danny Ahn,3,33890.333333333336,7.466666666666666
David Lee,4,1139.0,7.975
Dawon,1,82.0,8.4
Dennis Oh,1,4903.0,7.2
Do Ji Han,3,2454.6666666666665,7.433333333333334
Do Ji Won,5,4138.0,7.76
Do Sang Woo,4,1580.0,7.6
Doh Kyung Soo,4,1422.75,7.766666666666667
Dok Go Young Jae,1,1756.0,7.8
Dong Ha,3,1598.5714285714287,7.742857142857143
Dong Hyun Bae,1,189.0,8.1
EXY,1,1506.0,8.1
Eric Mun,8,3939.5,7.3875
Eru,1,5429.0,7.3
Esom,5,1269.4,8.025
Eugene,5,1179.3636363636363,7.945454545454546
Eum Moon Suk,1,742.0,8.0
Eun Ji Won,1,63.0,8.5
Feeldog,1,571.0,7.9
Fueki Yuko,3,38439.0,7.333333333333333
Ga Deuk Hee,2,1806.5,7.65
Gal So Won,1,4026.0,7.4
Geum Bo Ra,4,55246.75,7.2
Geum Sae Rok,3,363.0,8.6
Gil Eun Hye,3,1020.0,7.366666666666667
Gil Yong Woo,4,7300.5,7.225
Giriboy,1,4453.0,
Go Ah Ra,8,1336.625,7.875
Go Ah Sung,5,3529.6,7.82
Go Bo Gyeol,2,391.5,8.4
Go Do Yeon,1,2594.0,7.6
Go Doo Shim,13,10209.692307692309,7.5181818181818185
Go Eun Ah,1,99999.0,6.9
Go Eun Mi,2,99999.0,7.0
Go Geon Han,2,85.0,8.05
Go Gyu Pil,4,660.75,8.125
Go Hyun Jung,8,3546.25,7.7124999999999995
Go In Beom,3,3664.3333333333335,7.6000000000000005
Go Joo Won,5,24084.4,7.5
Go Joon Hee,8,3317.75,7.3875
Go Jun,4,20707.0,8.059999999999999
Go Jung Min,1,99999.0,7.6
Go Kyung Pyo,10,1035.6,8.144444444444446
Go Min Si,6,587.8333333333334,8.200000000000001
Go Myung Hwan,1,3751.0,7.3
Go Na Eun,3,35394.0,7.466666666666666
Go Na Hee,1,1039.0,8.3
Go Na Yeon,1,6778.0,7.6
Go Se Won,3,38043.666666666664,7.2
Go So Young,1,2510.0,7.4
Go Soo,10,12290.083333333334,7.741666666666667
Go Soo Hee,2,1415.0,7.5
Go Sung Hee,8,1616.875,7.737500000000001
Go Won Hee,9,2723.4444444444443,7.824999999999999
Go Woo Jin,1,306.0,8.3
Go Yoon,2,2522.75,7.7
Go Yoon Jung,2,1423.0,8.4
Gong Hyo Jin,9,1535.4444444444443,8.1375
Gong Hyun Joo,3,2864.6666666666665,7.766666666666667
Gong Hyung Jin,4,26831.0,7.45
Gong Jae Won,1,99999.0,6.8
Gong Jung Hwan,2,5703.5,7.5
Gong Min Jung,2,1390.0,7.4
Gong Myung,7,552.2857142857143,7.814285714285714
Gong Seung Yeon,8,1450.625,8.014285714285714
Gong Yoo,4,170.5,8.075
Goo Ha Ra,2,1545.0,7.5
Gu Bon Seung,1,99999.0,10.0
Gu Hye Seon,8,2887.25,7.2375
Gu Jae Yi,4,2567.25,7.65
Gu Seung Hyun,2,2624.5,6.65
Gu Won,3,3337.0,7.433333333333333
HA:TFELT,1,4051.0,6.8
Ha Do Gwon,3,1545.0,7.766666666666666
Ha Hee Ra,7,58895.857142857145,7.271428571428571
Ha Jae Sook,4,755.75,7.574999999999999
Ha Jae Young,2,3990.0,7.4
Ha Ji Won,10,12634.4,7.933333333333334
Ha Joo Hee,1,8088.0,7.3
Ha Joon,6,3419.5,7.799999999999998
Ha Jung Woo,1,4230.0,
Ha Kyu Won,1,181.0,8.3
Ha Seok Jin,15,9435.6,7.442857142857144
Ha Seung Ri,1,3754.0,7.6
Ha Shi Eun,2,2640.0,7.75
Ha Yeon Soo,4,1458.0,7.475
Ha Yun Joo,2,2667.0,7.25
Ham Eun Jung,5,5085.6,7.32
Ham Shin Young,1,99999.0,8.0
Ham Yeon Ji,1,99999.0,
Han Bo Bae,1,99999.0,7.9
Han Bo Reum,2,1064.5,7.55
Han Chae Ah,7,3245.8571428571427,7.314285714285715
Han Chae Young,4,2745.25,6.875
Han Da Gam,5,5825.2,7.42
Han Da Min,1,11841.0,7.1
Han Eun Seo,1,283.0,8.3
Han Eun Sun,1,791.0,7.5
Han Ga In,3,3230.3333333333335,7.966666666666666
Han Ga Rim,3,39261.666666666664,7.3
Han Gap Soo,1,6778.0,7.6
Han Gi Chan,1,158.0,8.1
Han Go Eun,9,26863.666666666668,7.055555555555556
Han Groo,2,707.5,7.6
Han Hye Jin,6,6041.0,7.116666666666667
Han Hye Rin,2,2451.5,7.25
Han Hye Sook,2,55739.5,7.5
Han Hyo Joo,3,974.0,8.7
Han Hyun Min,1,641.0,7.9
Han Jae Suk,8,17654.625,7.3125
Han Ji An,1,196.0,8.0
Han Ji Eun,5,1189.6,8.25
Han Ji Hye,8,4326.375,7.425
Han Ji Hyo,1,3015.0,7.1
Han Ji Hyun,2,4513.0,
Han Ji Min,10,1852.7,7.909999999999999
Han Ji Sang,2,6719.0,7.4
Han Ji Wan,1,9452.0,7.4
Han Jin Hee,6,24003.0,7.133333333333333
Han Joo Wan,6,2094.8333333333335,7.566666666666667
Han Joon Woo,1,730.0,8.2
Han Jung Soo,2,485.0,7.45
Han Ki Woong,1,3455.0,7.6
Han Min,1,629.0,8.1
Han Sang Jin,5,4686.8,7.279999999999999
Han Seo Jin,1,1899.0,8.0
Han Seok Kyu,4,1138.0,8.25
Han Seung Yeon,6,1289.5,7.716666666666668
Han So Eun,2,984.0,8.2
Han So Hee,7,284.85714285714283,8.200000000000001
Han So Young,1,1641.0,6.8
Han Soo Yeon,1,1834.0,7.3
Han Sun Hwa,8,1248.5,7.9125000000000005
Han Ye Ri,6,1194.5,7.999999999999999
Han Ye Seul,7,1530.857142857143,7.528571428571429
Han Ye Won,1,8651.0,7.3
Han Yi Jin,1,2632.0,7.0
Han Young,1,6678.5,7.199999999999999
Han Young Soo,1,4051.0,6.8
Henry Lau,1,42.0,8.3
Heo Hyung Kyu,1,1281.0,7.9
Heo Jae Ho,2,799.5,7.9
Heo Ji Won,1,896.0,8.1
Heo Joon Ho,7,14759.42857142857,8.271428571428572
Heo Jun Seok,3,1381.3333333333333,7.699999999999999
Heo Jung Eun,2,2196.0,8.05
Heo Jung Min,6,18095.166666666668,7.533333333333334
Heo Sung Tae,6,2323.8333333333335,8.100000000000001
Heo Yi Jae,2,8602.5,6.85
Heo Yoon Jung,1,99999.0,4.0
Heo Young Joo,1,4388.0,7.5
Heo Young Ran,1,10333.0,7.4
Hong Ah Reum,4,32050.0,7.2749999999999995
Hong Bi Ra,1,595.0,8.3
Hong Bin,3,450.3333333333333,7.7
Hong Eun Hee,6,4686.666666666667,7.316666666666666
Hong Hyun Taek,1,5496.0,7.1
Hong Il Kwon,1,12010.0,7.1
Hong In Young,1,99999.0,7.5
Hong Je Yi,1,1273.0,7.1
Hong Ji Yoon,1,275.0,7.8
Hong Ji Young,1,5630.0,7.1
Hong Jin Hee ,1,7344.0,6.7
Hong Jong Hyun,7,1882.142857142857,7.728571428571428
Hong Jung Min,1,267.0,8.4
Hong Kyung,2,27963.75,7.966666666666668
Hong Kyung In,1,5068.0,7.2
Hong Kyung Min,1,99999.0,7.9
Hong Ri Na,1,99999.0,7.0
Hong Rok Gi,1,1064.0,7.1
Hong Seo Young,2,329.0,7.45
Hong Seok Cheon,2,2710.5,7.449999999999999
Hong Seung Hee,2,175.0,9.1
Hong Soo Ah,2,6558.5,6.949999999999999
Hong Soo Hyun,7,3202.285714285714,7.785714285714286
Hong Yeo Jin,3,4723.333333333333,7.366666666666667
Hong Yoon Hwa,1,934.0,7.1
Hoya,6,512.0,7.8
Hur Hyun Jun,1,201.0,7.7
Hwang Bo Mi,1,3648.0,7.4
Hwang Bo Ra,6,17824.0,7.616666666666667
Hwang Bo Reum Byeol,1,635.0,8.0
Hwang Chan Sung,6,1840.0,7.516666666666667
Hwang Chan Woo,1,8088.0,7.3
Hwang Dong Joo,2,54197.5,6.949999999999999
Hwang Eun Jung,1,3476.0,6.7
Hwang Geum Byul,1,374.0,8.4
Hwang Hee,3,206.33333333333334,8.466666666666667
Hwang Hyun Hee,1,183.0,7.4
Hwang In Youp,3,238.33333333333334,8.3
Hwang Jae Won,1,1271.0,7.1
Hwang Ji Ni,1,99999.0,7.2
Hwang Jung Eum,11,1131.5454545454545,7.8
Hwang Jung Min,6,4073.3333333333335,7.56
Hwang Jung Seo,1,8406.0,7.4
Hwang Min Hyun,3,394.0,8.733333333333333
Hwang Seok Jung,3,34446.666666666664,7.066666666666666
Hwang Seung Eon,10,1302.4,7.409999999999999
Hwang Shin Hye,5,23594.2,7.239999999999999
Hwang Soo Jung,3,40679.666666666664,7.666666666666667
Hwang Sun Hee,4,2057.25,7.475
Hwang Woo Seul Hye,2,1493.5,7.75
Hwang Woo Yun,1,153.0,8.1
Hwang Young Hee,3,2415.6666666666665,7.366666666666667
