actors,장르,점수별,인기별,리뷰수,작품수
Heo Jun Seok,Heo Jun Seok,7.699999999999999,1381.3333333333333,2710.333333333333,3
Heo Jung Eun,Heo Jung Eun,8.05,2196.0,1464.0,2
Heo Jung Min,Heo Jung Min,7.533333333333334,18095.166666666668,6739.166666666667,6
Heo Sung Tae,Heo Sung Tae,8.100000000000001,2323.833333333333,2767.8,6
Heo Yi Jae,Heo Yi Jae,6.85,8602.5,224.5,2
Heo Yoon Jung,Heo Yoon Jung,4.0,99999.0,1.0,1
Heo Young Joo,Heo Young Joo,7.5,4388.0,438.0,1
Heo Young Ran,Heo Young Ran,7.4,10333.0,101.0,1
Hong Ah Reum,Hong Ah Reum,7.274999999999999,32050.0,60.25,4
Hong Bi Ra,Hong Bi Ra,8.3,595.0,5515.0,1
Hong Bin,Hong Bin,7.7,450.3333333333333,10470.666666666666,3
Hong Eun Hee,Hong Eun Hee,7.316666666666666,4686.666666666667,1131.0,6
Hong Hyun Taek,Hong Hyun Taek,7.1,5496.0,413.0,1
Hong Il Kwon,Hong Il Kwon,7.1,12010.0,24.0,1
Hong In Young,Hong In Young,7.5,99999.0,23.0,1
Hong Je Yi,Hong Je Yi,7.1,1273.0,3763.0,1
Hong Ji Yoon,Hong Ji Yoon,7.8,275.0,15826.0,1
Hong Ji Young,Hong Ji Young,7.1,5630.0,466.0,1
Hong Jin Hee ,Hong Jin Hee ,6.7,7344.0,207.0,1
Hong Jong Hyun,Hong Jong Hyun,7.728571428571428,1882.142857142857,10529.285714285714,7
Hong Jung Min,Hong Jung Min,8.4,267.0,13710.0,1
Hong Kyung,Hong Kyung,7.966666666666668,27963.75,5718.333333333333,2
Hong Kyung In,Hong Kyung In,7.2,5068.0,543.0,1
Hong Kyung Min,Hong Kyung Min,7.9,99999.0,12.0,1
Hong Ri Na,Hong Ri Na,7.0,99999.0,2.0,1
Hong Rok Gi,Hong Rok Gi,7.1,1064.0,4766.0,1
Hong Seo Young,Hong Seo Young,7.45,329.0,11412.0,2
Hong Seok Cheon,Hong Seok Cheon,7.449999999999999,2710.5,1311.5,2
Hong Seung Hee,Hong Seung Hee,9.1,175.0,19440.0,2
Hong Soo Ah,Hong Soo Ah,6.949999999999999,6558.5,169.5,2
Hong Soo Hyun,Hong Soo Hyun,7.785714285714286,3202.285714285714,3881.571428571429,7
Hong Yeo Jin,Hong Yeo Jin,7.366666666666667,4723.333333333333,1129.6666666666667,3
Hong Yoon Hwa,Hong Yoon Hwa,7.1,934.0,6139.0,1
Hoya,Hoya,7.8,512.0,12142.833333333334,6
Hur Hyun Jun,Hur Hyun Jun,7.7,201.0,22845.0,1
Hwang Bo Mi,Hwang Bo Mi,7.4,3648.0,360.0,1
Hwang Bo Ra,Hwang Bo Ra,7.616666666666667,17824.0,5935.666666666667,6
Hwang Bo Reum Byeol,Hwang Bo Reum Byeol,8.0,635.0,4502.0,1
Hwang Chan Sung,Hwang Chan Sung,7.516666666666667,1840.0,8002.5,6
Hwang Chan Woo,Hwang Chan Woo,7.3,8088.0,175.0,1
Hwang Dong Joo,Hwang Dong Joo,6.949999999999999,54197.5,87.0,2
Hwang Eun Jung,Hwang Eun Jung,6.7,3476.0,1098.0,1
Hwang Geum Byul,Hwang Geum Byul,8.4,374.0,8156.0,1
Hwang Hee,Hwang Hee,8.466666666666667,206.33333333333331,18911.33333333333,3
Hwang Hyun Hee,Hwang Hyun Hee,7.4,183.0,19797.0,1
Hwang In Youp,Hwang In Youp,8.3,238.33333333333331,22720.666666666668,3
Hwang Jae Won,Hwang Jae Won,7.1,1271.0,2986.0,1
Hwang Ji Ni,Hwang Ji Ni,7.2,99999.0,13.0,1
Hwang Jung Eum,Hwang Jung Eum,7.8,1131.5454545454545,13333.727272727272,11
Hwang Jung Min,Hwang Jung Min,7.56,4073.3333333333335,3430.2,6
Hwang Jung Seo,Hwang Jung Seo,7.4,8406.0,172.0,1
Hwang Min Hyun,Hwang Min Hyun,8.733333333333333,394.0,6130.0,3
Hwang Seok Jung,Hwang Seok Jung,7.066666666666666,34446.666666666664,2057.0,3
Hwang Seung Eon,Hwang Seung Eon,7.409999999999999,1302.4,3712.8,10
Hwang Shin Hye,Hwang Shin Hye,7.239999999999999,23594.2,353.8,5
Hwang Soo Jung,Hwang Soo Jung,7.666666666666667,40679.66666666666,83.66666666666667,3
Hwang Sun Hee,Hwang Sun Hee,7.475,2057.25,11825.0,4
Hwang Woo Seul Hye,Hwang Woo Seul Hye,7.75,1493.5,3658.5,2
Hwang Woo Yun,Hwang Woo Yun,8.1,153.0,20362.0,1
Hwang Young Hee,Hwang Young Hee,7.366666666666667,2415.6666666666665,1733.6666666666667,3
Hwanhee,Hwanhee,7.0,4366.0,638.0,1
Hwiyoung,Hwiyoung,7.4,2253.0,1809.0,1
Hyolyn,Hyolyn,6.9,219.0,17947.0,2
Hyun Bin,Hyun Bin,7.916666666666667,1468.6923076923076,13479.25,4
Hyun Jyu Ni,Hyun Jyu Ni,7.3,8157.0,208.0,1
Hyun Seung Hee,Hyun Seung Hee,7.0,6594.0,228.0,1
Hyun Suk,Hyun Suk,7.428571428571429,58343.57142857143,1563.857142857143,6
Hyun Woo,Hyun Woo,7.655882352941177,8164.371428571429,5980.264705882353,7
Hyun Woo Sung,Hyun Woo Sung,7.55,6350.0,342.5,2
I.L,I.L,8.1,1506.0,2204.0,1
IU,IU,7.914285714285714,343.85714285714283,23988.85714285714,7
Im Chae Moo,Im Chae Moo,7.1000000000000005,8229.666666666666,174.0,3
Im Chang Jung,Im Chang Jung,7.1,99999.0,7.0,1
Im Chul Hyung,Im Chul Hyung,8.3,1549.0,2359.0,1
Im Da Young,Im Da Young,8.2,841.0,5194.0,1
Im Dae Ho,Im Dae Ho,6.4,9145.0,10.0,1
Im Do Yoon,Im Do Yoon,8.2,175.0,20247.0,2
Im Dong Jin,Im Dong Jin,6.8,69394.33333333333,73.5,3
Im Eun Kyung,Im Eun Kyung,6.9,7448.0,176.0,1
Im Ho,Im Ho,7.55,31104.25,106.75,4
Im Hwa Young,Im Hwa Young,8.049999999999999,1688.5,6649.75,4
Im Hwi Jin,Im Hwi Jin,8.0,1286.0,3456.0,1
Im Hyuk,Im Hyuk,7.5,76804.5,45.333333333333336,3
Im Hyuk Joo,Im Hyuk Joo,8.1,99999.0,23.0,1
Im Hyun Shik,Im Hyun Shik,7.55,51505.0,498.0,2
Im Hyun Sung,Im Hyun Sung,7.7,1655.0,1852.0,1
Im Hyung Joon,Im Hyung Joon,7.2,1226.0,2698.0,1
Im Ji Eun,Im Ji Eun,7.45,6043.75,660.0,4
Im Ji Yeon,Im Ji Yeon,7.62,2093.8,3560.2,5
Im Joo Hwan,Im Joo Hwan,7.839999999999999,1069.6,11925.4,10
Im Ju Eun,Im Ju Eun,7.685714285714286,2222.428571428572,6350.428571428572,7
Im Jung Eun,Im Jung Eun,7.233333333333333,36897.66666666666,457.0,3
Im Se Mi,Im Se Mi,7.762500000000001,3475.8888888888887,8249.875,9
Im Seul Ong,Im Seul Ong,7.699999999999999,1775.25,3896.0,4
Im Si Wan,Im Si Wan,8.071428571428571,1538.428571428571,9916.857142857143,7
Im Soo Hyang,Im Soo Hyang,7.375,1484.6666666666667,6840.5,12
Im Soo Jung,Im Soo Jung,8.18,513.0,11082.0,5
Im Sung Eon,Im Sung Eon,7.85,4103.0,8648.5,2
Im Tae Kyung,Im Tae Kyung,8.3,1007.0,3646.0,1
Im Won Hee,Im Won Hee,7.449999999999999,2515.75,7158.5,4
Im Ye Jin,Im Ye Jin,7.0,99999.0,24.5,2
Im Yoon Ah,Im Yoon Ah,7.866666666666666,867.3333333333334,11973.166666666666,6
Im Yoon Ho,Im Yoon Ho,7.4,3648.0,360.0,1
In Gyo Jin,In Gyo Jin,7.866666666666668,19617.33333333333,6897.166666666667,6
Ivy,Ivy,7.1,10335.0,141.0,1
Jae Hee,Jae Hee,7.274999999999999,17748.375,908.25,4
Jang  Kyung Ah,Jang  Kyung Ah,7.4,7481.0,122.0,1
Jang Dong Gun,Jang Dong Gun,7.966666666666666,50203.16666666666,5371.166666666667,6
Jang Dong Jik,Jang Dong Jik,7.5,9271.5,199.0,2
Jang Dong Joo,Jang Dong Joo,7.9,1082.0,2908.0,1
Jang Dong Yoon,Jang Dong Yoon,8.085714285714285,904.5714285714286,8913.714285714286,7
Jang Eui Soo,Jang Eui Soo,8.1,158.0,24755.0,1
Jang Eun Bi,Jang Eun Bi,7.4,99999.0,12.0,1
Jang Geun Suk,Jang Geun Suk,7.533333333333332,1442.6666666666667,13557.666666666666,6
Jang Gwang,Jang Gwang,8.05,1594.6,11574.0,5
Jang Gyu Ri,Jang Gyu Ri,,4513.0,,2
Jang Hee Jin,Jang Hee Jin,7.849999999999999,1532.625,9135.5,8
Jang Hee Ryung,Jang Hee Ryung,7.25,1328.5,3277.5,2
Jang Hye Jin,Jang Hye Jin,8.1,1559.3333333333333,17357.333333333332,3
Jang Hyuk,Jang Hyuk,7.989473684210526,1503.2105263157894,6979.263157894737,17
Jang Hyuk Jin,Jang Hyuk Jin,8.75,172.0,18754.0,2
Jang Hyun Sung,Jang Hyun Sung,7.793750000000002,8563.8125,3900.75,16
Jang In Sub,Jang In Sub,7.8,1417.0,2445.0,1
Jang Ji Eun,Jang Ji Eun,7.6,721.0,5922.0,1
Jang Ji Won,Jang Ji Won,6.5,99999.0,2.0,1
Jang Jin Young,Jang Jin Young,7.2,6352.0,307.0,1
Jang Joon Hyun,Jang Joon Hyun,7.4,482.0,8444.0,1
Jang Ki Beom,Jang Ki Beom,6.7,4884.0,532.0,1
Jang Ki Yong,Jang Ki Yong,7.766666666666666,724.0,10189.777777777776,9
Jang Mi Hee ,Jang Mi Hee ,7.519999999999999,1906.2,3450.8,5
Jang Mi In Ae,Jang Mi In Ae,6.699999999999999,99999.0,35.5,2
Jang Na Ra,Jang Na Ra,7.766666666666667,1441.0,9501.583333333334,12
Jang Se Hyun,Jang Se Hyun,7.5,1954.0,1652.0,1
Jang Seo Hee,Jang Seo Hee,7.450000000000001,6598.5,492.5,4
Jang Seung Jo,Jang Seung Jo,7.987499999999999,1583.125,7185.5,8
Jang Shin Young,Jang Shin Young,7.25,6728.166666666667,475.3333333333333,6
Jang So Yeon,Jang So Yeon,7.6,2012.0,5778.2,5
Jang Sung Yoon,Jang Sung Yoon,8.2,936.0,1157.0,1
Jang Tae Sung,Jang Tae Sung,7.0,2466.0,1750.0,1
Jang Won Hyuk,Jang Won Hyuk,7.4,8847.0,117.0,1
Jang Won Young,Jang Won Young,6.9,2264.0,1726.0,1
Jang Ye Seul,Jang Ye Seul,7.2,99999.0,13.0,1
Jang Yong,Jang Yong,8.2,1629.0,3049.0,2
Jang Yoo Sang,Jang Yoo Sang,7.4,714.5,13685.0,2
Jang Yoon Ju,Jang Yoon Ju,8.3,577.0,7138.0,1
Jang Young Nam,Jang Young Nam,8.014285714285714,1821.2857142857144,17813.14285714286,7
Jasper Cho,Jasper Cho,7.3,5245.0,335.0,1
Jay B,Jay B,6.9,219.0,17947.0,2
Jei,Jei,6.7,500.0,8894.0,1
Jeon Bae Soo,Jeon Bae Soo,9.2,227.0,8535.0,1
Jeon Chae Eun,Jeon Chae Eun,8.8,179.0,14478.0,1
Jeon Chang Ha,Jeon Chang Ha,7.3,866.0,5653.0,1
Jeon Do Yeon,Jeon Do Yeon,7.900000000000001,2639.0,1548.0,3
Jeon Gook Hwan,Jeon Gook Hwan,7.533333333333332,2014.0,2220.0,6
Jeon Hye Bin,Jeon Hye Bin,7.699999999999999,2651.1111111111118,3819.555555555556,9
Jeon Hye Jin,Jeon Hye Jin,7.960000000000001,40800.2,4914.2,5
Jeon Hye Soo,Jeon Hye Soo,7.9,9959.0,143.0,1
Jeon Hyo Sung,Jeon Hyo Sung,7.675,2042.5,9725.75,4
Jeon Ik Ryung,Jeon Ik Ryung,7.949999999999999,51062.5,307.5,2
Jeon In Hwa,Jeon In Hwa,7.433333333333334,4281.333333333333,515.0,3
Jeon Jae Yeong,Jeon Jae Yeong,8.1,158.0,24755.0,1
Jeon Jin Ki,Jeon Jin Ki,7.4,99999.0,18.0,1
Jeon Jin Seo,Jeon Jin Seo,8.3,508.0,7778.0,1
Jeon Jong Seo,Jeon Jong Seo,8.3,577.0,7138.0,1
Jeon Kwang Ryul,Jeon Kwang Ryul,7.481818181818181,3308.909090909091,1589.6363636363635,11
Jeon Mi Do,Jeon Mi Do,8.6,295.5,19940.0,2
Jeon Mi Seon,Jeon Mi Seon,7.359999999999999,4845.0,5862.6,5
Jeon Min Seo,Jeon Min Seo,7.4,99999.0,18.0,1
Jeon Moo Song,Jeon Moo Song,7.8,961.0,4797.0,1
Jeon Noh Min,Jeon Noh Min,7.542857142857143,18094.285714285717,2340.714285714286,7
Jeon Seung Bin,Jeon Seung Bin,7.5,99999.0,23.0,1
Jeon So Min,Jeon So Min,7.688888888888889,2635.6666666666665,5227.444444444444,9
Jeon So Nee,Jeon So Nee,7.8,2261.5,3779.0,2
Jeon Soo Jin,Jeon Soo Jin,8.05,1048.0,3699.0,2
Jeon Soo Kyung,Jeon Soo Kyung,7.333333333333333,5264.0,1068.6666666666667,3
Jeon Sung Woo,Jeon Sung Woo,8.45,1134.0,5074.0,2
Jeon Tae Soo,Jeon Tae Soo,8.2,2081.0,1227.0,1
Jeon Woon,Jeon Woon,4.0,99999.0,1.0,1
Jeon Yang Ja,Jeon Yang Ja,7.3,7754.0,165.0,1
Jeon Yeo Been,Jeon Yeo Been,8.75,1518.75,30102.5,4
Jeon Yu Na,Jeon Yu Na,8.4,1055.0,3016.0,1
Jeong Bo Seok,Jeong Bo Seok,7.709999999999999,4318.8,1856.6,10
Jeong Hee Tae,Jeong Hee Tae,7.2,4804.0,294.0,1
Jeong Jae Hyun,Jeong Jae Hyun,8.1,606.0,4087.0,1
Jeong Seon Yul,Jeong Seon Yul,7.4,6080.0,265.0,1
Jeong Yun Ho,Jeong Yun Ho,8.1,332.0,10640.0,1
Ji  Il Joo,Ji  Il Joo,7.7,33550.0,6348.0,3
Ji Chang Wook,Ji Chang Wook,7.874999999999999,944.75,15711.0625,16
Ji Eun Sung,Ji Eun Sung,7.35,12324.0,29.5,2
Ji Gun Woo,Ji Gun Woo,7.9,705.5,7692.5,2
Ji Hye Won,Ji Hye Won,8.4,267.0,13710.0,1
Ji Hyun Woo,Ji Hyun Woo,7.492307692307692,9921.384615384615,3948.692307692308,13
Ji Jin Hee,Ji Jin Hee,7.525000000000001,2915.1666666666665,3037.1666666666665,12
Ji Joo Yeon,Ji Joo Yeon,7.3,7015.0,201.0,1
Ji Min Hyuk,Ji Min Hyuk,7.9,939.0,5541.0,1
Ji Seung Hyun,Ji Seung Hyun,8.02,818.8,7452.0,5
Ji Soo Won,Ji Soo Won,7.449999999999999,4998.5,394.0,2
Ji Sung,Ji Sung,7.911764705882353,1630.9411764705883,8167.588235294118,13
Ji Woo,Ji Woo,7.561538461538461,3162.6,4086.769230769231,3
Ji Yi Soo,Ji Yi Soo,6.3,3535.0,259.0,1
Jin  Ji Hee,Jin  Ji Hee,7.599999999999999,3030.6666666666665,1085.3333333333333,3
Jin Goo,Jin Goo,7.761904761904762,1808.6666666666667,11690.857142857143,8
Jin Gun,Jin Gun,7.3,866.0,5653.0,1
Jin Ha,Jin Ha,8.4,1055.0,3016.0,1
Jin Hee Kyung,Jin Hee Kyung,7.916666666666665,17179.0,12723.333333333334,6
Jin Ho Eun,Jin Ho Eun,7.4,3968.0,946.0,1
Jin Hyuk,Jin Hyuk,7.876470588235293,6804.529411764706,12435.764705882351,1
Jin Jae Young,Jin Jae Young,6.9,99999.0,21.0,1
Jin Joo Hyung,Jin Joo Hyung,7.6,3754.0,689.0,1
Jin Ki Joo,Jin Ki Joo,8.133333333333333,1006.6666666666666,8840.0,6
Jin Kyung,Jin Kyung,8.01,903.7,16412.4,8
Jin Se Yeon,Jin Se Yeon,7.7,1653.5454545454545,5979.909090909091,11
Jin Seo Yun,Jin Seo Yun,8.2,887.5,4646.0,2
Jin Seon Kyu,Jin Seon Kyu,8.7,1021.0,3634.0,1
Jin Tae Hyun,Jin Tae Hyun,7.266666666666667,22642.0,298.3333333333333,6
Jin Ye Ju,Jin Ye Ju,7.449999999999999,729.5,6864.5,2
Jin Ye Sol,Jin Ye Sol,6.949999999999999,8178.5,126.0,2
Jin Yi Han,Jin Yi Han,7.4875,3265.0,3051.5,8
Jo  Hyun Sook,Jo  Hyun Sook,7.9,9959.0,143.0,1
Jo  Min Ki,Jo  Min Ki,7.8,33701.0,5634.333333333333,3
Jo  Sang Gu,Jo  Sang Gu,7.0,4366.0,638.0,1
Jo  Woo Jin,Jo  Woo Jin,8.8,1493.0,22575.5,3
Jo A Young,Jo A Young,6.9,2735.0,1322.0,1
Jo An,Jo An,7.633333333333333,36461.333333333336,905.0,3
Jo Bo Ah,Jo Bo Ah,7.849999999999999,563.5,10537.0,10
Jo Bok Rae,Jo Bok Rae,7.7,1363.0,2948.5,2
Jo Dal Hwan,Jo Dal Hwan,7.340000000000001,3463.0,1057.4,5
Jo Dong Hyuk,Jo Dong Hyuk,7.960000000000001,2731.4,6473.4,5
Jo Dong In,Jo Dong In,8.5,668.0,4860.0,1
Jo Duk Je,Jo Duk Je,7.3,99999.0,13.0,1
Jo Eun Ji,Jo Eun Ji,8.05,634.0,9808.5,2
Jo Han Chul,Jo Han Chul,8.48,480.5,23121.4,6
Jo Han Joon,Jo Han Joon,7.4,8847.0,117.0,1
Jo Han Sun,Jo Han Sun,7.1000000000000005,5934.333333333333,1275.0,3
Jo Hee Bong,Jo Hee Bong,7.880000000000001,1566.0,5643.2,5
Jo Hwi Joon,Jo Hwi Joon,7.199999999999999,1136.5,12275.5,2
Jo Hye Joo,Jo Hye Joo,7.8,353.0,12861.0,1
Jo Hyun Chul,Jo Hyun Chul,8.566666666666666,432.6666666666667,25595.33333333333,3
Jo Hyun Jae,Jo Hyun Jae,7.485714285714285,17603.85714285714,2162.8571428571427,7
Jo Jae Hyun,Jo Jae Hyun,7.491666666666667,12426.5,948.9166666666666,12
Jo Jae Yoon,Jo Jae Yoon,8.114285714285714,720.7142857142857,9970.57142857143,7
Jo Jin Woong,Jo Jin Woong,7.925,1053.75,8435.5,4
Jo Jung Suk,Jo Jung Suk,8.100000000000001,592.25,15523.75,8
Jo Kwon,Jo Kwon,7.4,3225.0,773.0,1
Jo Kyung Hoon,Jo Kyung Hoon,6.6,99999.0,19.0,1
Jo Kyung Hwan,Jo Kyung Hwan,7.3,53703.5,77.0,2
Jo Mi Ryung,Jo Mi Ryung,7.6,6466.25,187.25,4
Jo Min Soo,Jo Min Soo,7.279999999999999,43582.0,449.6,5
Jo Seung Hyun,Jo Seung Hyun,7.4,6080.0,265.0,1
Jo Soo Hyang,Jo Soo Hyang,7.8,723.0,19312.5,2
Jo Soo Min,Jo Soo Min,8.1,998.0,2990.0,1
Jo Sung Ha,Jo Sung Ha,7.844444444444445,1210.0,11151.333333333334,9
Jo Wan Ki,Jo Wan Ki,8.15,3699.0,3269.5,2
Jo Woo Ri,Jo Woo Ri,7.666666666666667,894.3333333333334,18113.33333333333,3
Jo Yeon Woo,Jo Yeon Woo,7.366666666666667,7991.666666666667,5995.0,3
Jo Yi Hyun,Jo Yi Hyun,8.1,698.0,11813.666666666666,3
Jo Yi Jin,Jo Yi Jin,7.199999999999999,8597.5,175.5,2
Jo Yoo Jung,Jo Yoo Jung,7.9,701.0,7056.0,1
Jo Yoon Hee,Jo Yoon Hee,7.6375,15972.5,856.375,8
Jo Yoon Woo,Jo Yoon Woo,7.45,1608.0,7409.75,4
Jo Young Jin,Jo Young Jin,8.2,420.0,5763.0,1
Jo Yun Hee,Jo Yun Hee,8.6,879.0,15098.0,2
Jong Ji Woo,Jong Ji Woo,,5948.0,,1
Joo Ah Reum,Joo Ah Reum,7.35,5751.0,306.5,2
Joo Bo Young,Joo Bo Young,,4163.0,,1
Joo Hae Eun,Joo Hae Eun,7.9,1817.0,1559.0,1
Joo Hyun,Joo Hyun,7.415384615384615,17151.0,1994.7692307692307,1
Joo Hyun Young,Joo Hyun Young,,99999.0,,1
Joo Ji Hoon,Joo Ji Hoon,7.866666666666667,946.5,8302.666666666666,6
Joo Jin Mo,Joo Jin Mo,7.527272727272727,10960.454545454546,3379.818181818182,11
Joo Jong Hyuk,Joo Jong Hyuk,8.5,256.0,13469.0,1
Joo Min Kyung,Joo Min Kyung,8.0,1260.25,6574.0,4
Joo Sang Wook,Joo Sang Wook,7.63076923076923,9495.153846153846,4576.846153846154,13
Joo Seok Tae,Joo Seok Tae,8.6,729.0,4208.0,1
Joo Won,Joo Won,7.684615384615384,9664.23076923077,5156.384615384615,8
Joo Woo Jae,Joo Woo Jae,7.3,1712.0,2397.6666666666665,3
Joo Yeon Woo,Joo Yeon Woo,7.0,1611.0,2659.0,1
Joy,Joy,7.7,399.0,14850.333333333334,3
Jubi,Jubi,6.8,1961.0,2022.0,1
Julien Kang,Julien Kang,7.2,5249.0,439.0,1
Jun  In Taek,Jun  In Taek,7.45,51418.0,575.5,2
Jun Hyun,Jun Hyun,7.366666666666667,3644.0,4102.0,1
Jun Ji Hyun,Jun Ji Hyun,8.22,1890.2,38252.0,5
Jun Min Jung,Jun Min Jung,,99999.0,,1
Jun Suk Ho,Jun Suk Ho,8.75,181.5,50376.0,2
Jung  Ji Soon,Jung  Ji Soon,7.2,1580.0,2819.0,1
Jung  Joo Eun,Jung  Joo Eun,7.5,7323.0,143.0,1
Jung  Soo Young,Jung  Soo Young,7.5,1945.5,2088.5,2
Jung Ae Ri,Jung Ae Ri,7.959999999999999,24990.6,3963.8,5
Jung Ae Yun,Jung Ae Yun,6.9,50718.0,1436.0,2
Jung Chae Yeon,Jung Chae Yeon,7.666666666666667,3425.75,9736.333333333334,4
Jung Chan,Jung Chan,7.5,5693.0,2963.6666666666665,2
Jung Chan Bi,Jung Chan Bi,7.5,448.0,8265.0,1
Jung Da Bin,Jung Da Bin,7.733333333333333,1673.75,12328.333333333334,4
Jung Da Eun,Jung Da Eun,8.033333333333333,629.6666666666666,9431.666666666666,3
Jung Da Sol,Jung Da Sol,7.6,61.0,37639.0,2
Jung Da Young,Jung Da Young,6.95,9384.5,108.5,2
Jung Dong Gyu,Jung Dong Gyu,8.7,327.0,10097.0,1
Jung Dong Hoon,Jung Dong Hoon,,4300.0,,1
Jung Dong Hwan,Jung Dong Hwan,7.275,30033.0,431.75,4
Jung Dong Hyun,Jung Dong Hyun,6.8,4051.0,471.0,1
Jung Eugene,Jung Eugene,8.083333333333334,387.8333333333333,27085.83333333333,6
Jung Eui Jae,Jung Eui Jae,7.550000000000001,3391.0,669.0,2
Jung Eui Wook,Jung Eui Wook,,3726.0,,1
Jung Eun Chae,Jung Eun Chae,8.1,745.75,13321.75,4
Jung Eun Ji,Jung Eun Ji,7.94,1410.5,12143.6,6
Jung Eun Pyo,Jung Eun Pyo,7.6,2203.0,1463.0,1
Jung Eun Woo,Jung Eun Woo,7.274999999999999,6796.0,490.5,4
Jung Ga Ram,Jung Ga Ram,7.4,41.0,42708.0,1
Jung Gun Joo,Jung Gun Joo,7.966666666666668,676.3333333333334,16187.666666666666,3
Jung Gyu Woon,Jung Gyu Woon,7.299999999999999,14911.875,8237.125,8
Jung Hae In,Jung Hae In,8.0375,1004.4444444444443,13018.25,9
Jung Hae Kyun,Jung Hae Kyun,8.049999999999999,958.75,4986.75,4
Jung Han Hun,Jung Han Hun,7.575,5952.0,1381.25,4
Jung Han Yong,Jung Han Yong,7.225,5585.75,399.0,4
Jung Heon,Jung Heon,7.400000000000001,6955.0,149.66666666666666,3
Jung Heung Chae,Jung Heung Chae,7.4,99999.0,12.0,1
Jung Ho Bin,Jung Ho Bin,7.75,6094.5,829.0,2
Jung Ho Geun,Jung Ho Geun,7.800000000000001,5574.0,445.0,2
Jung Ho Yeon,Jung Ho Yeon,8.5,31.0,62640.0,1
Jung Hye In,Jung Hye In,7.4,3911.5,2770.0,2
Jung Hye Sun,Jung Hye Sun,7.236363636363635,11206.09090909091,2415.818181818182,5
Jung Hye Sung,Jung Hye Sung,7.816666666666667,2109.5,3426.333333333333,6
Jung Hye Young,Jung Hye Young,7.275,51931.0,453.75,4
Jung Hyun Ji,Jung Hyun Ji,7.3,866.0,5653.0,1
Jung Hyung Suk,Jung Hyung Suk,7.7,5733.0,306.0,1
Jung Il Woo,Jung Il Woo,7.730000000000001,1112.0,10826.2,10
Jung In Ki,Jung In Ki,7.666666666666667,762.3333333333334,9138.0,3
Jung In Kyum,Jung In Kyum,7.3,834.0,3697.0,1
Jung In Sun,Jung In Sun,7.828571428571429,1264.571428571429,7715.571428571428,7
Jung Jae Hyuk,Jung Jae Hyuk,6.0,4465.0,629.0,1
Jung Jae Jin,Jung Jae Jin,7.0,7004.0,289.0,1
Jung Jae Oh,Jung Jae Oh,7.8,353.0,12861.0,1
Jung Jae Soon,Jung Jae Soon,7.38,43525.0,294.6,5
Jung Jae Young,Jung Jae Young,8.100000000000001,2421.25,2480.0,4
Jung Ji Ah,Jung Ji Ah,7.733333333333333,751.6666666666666,6004.0,1
Jung Ji Ahn,Jung Ji Ahn,8.0,790.0,5228.0,2
Jung Ji So,Jung Ji So,7.766666666666666,26441.5,4211.333333333333,4
Jung Ji Yoon,Jung Ji Yoon,7.25,5374.5,805.5,2
Jung Jin Woo,Jung Jin Woo,7.300000000000001,2121.333333333333,17430.5,2
Jung Jin Woon,Jung Jin Woon,7.300000000000001,246.0,17430.5,4
Jung Jin Young,Jung Jin Young,7.88,1203.2,7699.7,10
Jung Joo Yeon,Jung Joo Yeon,6.4,9145.0,10.0,1
Jung Joon,Jung Joon,7.792307692307693,25763.0,4496.0,4
Jung Joon Ho,Jung Joon Ho,7.912499999999999,14893.375,6199.625,8
Jung Joon Young,Jung Joon Young,7.9,418.0,8592.0,1
Jung Kyu Soo,Jung Kyu Soo,7.0,7260.0,189.0,1
Jung Kyung Ho,Jung Kyung Ho,8.200000000000001,690.4545454545455,10686.09090909091,11
Jung Kyung Soon,Jung Kyung Soon,7.466666666666666,1004.6666666666666,4933.0,3
Jung Man Shik,Jung Man Shik,7.6,1480.3333333333333,4710.666666666667,3
Jung Min,Jung Min,7.587499999999999,14996.44,5131.75,2
Jung Min Ah,Jung Min Ah,7.95,3694.5,6837.5,2
Jung Min Jin,Jung Min Jin,7.1,12436.0,39.0,1
Jung Min Sung,Jung Min Sung,8.2,2042.0,1491.0,1
Jung Moon Sung,Jung Moon Sung,7.866666666666667,1264.3333333333333,3081.6666666666665,3
Jung Ryeo Won,Jung Ryeo Won,7.611111111111111,3305.1111111111118,3419.333333333333,9
Jung Sang Hoon,Jung Sang Hoon,7.822222222222221,2546.8888888888887,2924.333333333333,9
Jung Se In,Jung Se In,6.5,99999.0,2.0,1
Jung Seo In,Jung Seo In,8.1,158.0,24755.0,1
Jung Seung Ho,Jung Seung Ho,7.15,7569.5,209.0,2
Jung Shi Ah,Jung Shi Ah,6.3,99999.0,4.0,1
Jung Shin Hye,Jung Shin Hye,8.0,1286.0,3456.0,1
Jung So Min,Jung So Min,8.116666666666665,1127.1666666666667,9832.166666666666,12
Jung So Young,Jung So Young,7.199999999999999,9013.666666666666,169.33333333333334,3
Jung Soo Bin,Jung Soo Bin,,12278.0,,1
Jung Suk Won,Jung Suk Won,7.166666666666667,34518.0,1426.0,3
Jung Suk Yong,Jung Suk Yong,8.05,3119.5,8448.5,4
Jung Sung Ho,Jung Sung Ho,7.4,9286.0,13.0,1
Jung Sung Hwan,Jung Sung Hwan,7.1,11841.0,27.0,1
Jung Sung Mo,Jung Sung Mo,7.6,3455.0,545.0,1
