actors,장르,점수별,인기별,리뷰수,작품수
Byun Jung Soo,Byun Jung Soo,7.2,2441.0,1667.0,3
Byun Woo Min,Byun Woo Min,7.449999999999999,51589.0,589.0,2
Byun Yo Han,Byun Yo Han,8.5,389.75,10436.75,4
CNU,CNU,7.8,4375.0,522.0,1
Cha Chung Hwa,Cha Chung Hwa,7.65,4163.5,815.5,2
Cha Do Jin,Cha Do Jin,7.2,40309.0,70.0,3
Cha Eun Woo,Cha Eun Woo,8.040000000000001,515.3333333333334,25660.0,6
Cha Hak Yeon,Cha Hak Yeon,7.949999999999999,1424.3333333333333,5405.333333333333,6
Cha Hwa Yun,Cha Hwa Yun,7.983333333333333,19498.5,6205.333333333333,6
Cha Hyun Jung,Cha Hyun Jung,6.6,99999.0,39.0,1
Cha In Ha,Cha In Ha,7.8,290.0,9862.0,1
Cha In Pyo,Cha In Pyo,7.266666666666667,53527.66666666666,287.1666666666667,6
Cha Jae Hoon,Cha Jae Hoon,8.2,241.0,21198.0,1
Cha Ji Yeon,Cha Ji Yeon,8.45,837.5,8982.0,2
Cha Joo Ok,Cha Joo Ok,7.4,99999.0,9.0,1
Cha Joo Young,Cha Joo Young,7.85,1314.5,2166.0,2
Cha Jung Won,Cha Jung Won,7.75,1613.0,4598.0,2
Cha Kwang Soo,Cha Kwang Soo,7.7,4423.0,1209.3333333333333,3
Cha Min Ji,Cha Min Ji,7.533333333333334,4325.666666666667,1047.6666666666667,3
Cha Seo Won,Cha Seo Won,7.375,5515.25,371.5,4
Cha Seung Won,Cha Seung Won,8.028571428571428,1670.2857142857142,11321.857142857143,7
Cha Shi Won,Cha Shi Won,8.6,235.0,11305.0,1
Cha Soo Yeon,Cha Soo Yeon,8.3,360.0,9593.0,1
Cha Soon Bae,Cha Soon Bae,,8010.0,,1
Cha Tae Hyun,Cha Tae Hyun,7.783333333333332,17485.0,6507.333333333333,6
Cha Ye Ryun,Cha Ye Ryun,7.328571428571429,17053.285714285714,2397.5714285714284,7
Chae Gook Hee,Chae Gook Hee,8.5,213.0,13671.0,1
Chae Jong Hyeop,Chae Jong Hyeop,7.949999999999999,395.0,13111.75,4
Chae Jung An,Chae Jung An,7.646153846153846,9621.53846153846,7828.0,13
Chae Min Seo,Chae Min Seo,7.4,99999.0,45.0,1
Chae Rim,Chae Rim,7.616666666666667,23113.666666666668,708.6666666666666,6
Chae Sang Woo,Chae Sang Woo,7.65,3405.5,1867.5,2
Chae Seo Jin,Chae Seo Jin,7.399999999999999,1764.6666666666667,2687.6666666666665,3
Chae Shi Ra,Chae Shi Ra,7.612500000000001,16822.25,628.5,8
Chae So Young,Chae So Young,7.0,7374.0,730.0,2
Chae Soo Bin,Chae Soo Bin,8.1,720.375,15490.75,8
Chang Jo,Chang Jo,7.1,1982.0,1778.0,1
Chang Ryul,Chang Ryul,8.7,115.0,30400.0,1
Chani,Chani,8.1,332.0,10640.0,1
Cheon Seung Ho,Cheon Seung Ho,8.1,158.0,24755.0,1
Cho Byeong Kyu,Cho Byeong Kyu,8.5,1930.75,13415.0,4
Cho Hye Jin,Cho Hye Jin,6.9,12811.0,34.0,1
Cho Hye Jung,Cho Hye Jung,8.100000000000001,555.0,42637.5,2
Cho Mi Yeon,Cho Mi Yeon,7.333333333333333,3137.6666666666665,3021.0,3
Cho Seung Woo,Cho Seung Woo,8.18,1070.2,8172.0,5
Cho Yeo Jung,Cho Yeo Jung,7.588888888888889,2206.777777777778,2096.4444444444443,9
Cho Yu Ha,Cho Yu Ha,7.0,2632.0,796.0,1
Choe Chan Yi,Choe Chan Yi,8.3,306.0,15543.0,1
Choi  Tae Joon,Choi  Tae Joon,7.800000000000002,1862.2857142857144,11287.142857142857,7
Choi  Woo Shik,Choi  Woo Shik,8.142857142857142,1101.7142857142858,10519.714285714286,7
Choi Bo Min,Choi Bo Min,8.0,824.0,6313.0,1
Choi Bool Am,Choi Bool Am,7.55,77778.5,16.5,4
Choi Bum Ho,Choi Bum Ho,8.3,1412.0,2586.0,1
Choi Byung Chan,Choi Byung Chan,8.4,294.6666666666667,22871.0,3
Choi Byung Mo,Choi Byung Mo,8.2,1661.0,3132.5,2
Choi Chan Ho,Choi Chan Ho,7.4,580.0,6076.0,1
Choi Chul Ho,Choi Chul Ho,7.800000000000001,32711.25,40.75,4
Choi Dae Chul,Choi Dae Chul,7.58,2229.4,8280.8,5
Choi Dae Hoon,Choi Dae Hoon,8.166666666666668,2064.25,6758.666666666667,4
Choi Dae Sung,Choi Dae Sung,7.1,2285.0,1557.0,1
Choi Daniel,Choi Daniel,7.475,2320.333333333333,5284.875,9
Choi Deok Moon,Choi Deok Moon,7.733333333333333,34699.0,2637.333333333333,3
Choi Dong Joon,Choi Dong Joon,7.9,6970.0,233.0,1
Choi Gwi Hwa,Choi Gwi Hwa,7.8,2594.6666666666665,2740.0,3
Choi Hee Seo,Choi Hee Seo,7.399999999999999,34035.333333333336,2411.333333333333,3
Choi Hui Seung,Choi Hui Seung,8.0,1286.0,3456.0,1
Choi Hwa Jung,Choi Hwa Jung,7.8,2464.5,7477.5,2
Choi Hye Jin,Choi Hye Jin,,5949.0,,1
Choi Hyun Jin,Choi Hyun Jin,8.6,1919.0,1547.0,1
Choi Hyun Suk,Choi Hyun Suk,8.3,2404.0,1554.0,1
Choi Hyun Wook,Choi Hyun Wook,8.8,505.0,8256.0,1
Choi Il Hwa,Choi Il Hwa,7.4,25899.4,2594.0,5
Choi Ja Hye,Choi Ja Hye,7.550000000000001,4297.0,1377.0,2
Choi Jae Ho,Choi Jae Ho,7.4,10653.0,118.0,1
Choi Jae Hwan,Choi Jae Hwan,7.6,7774.0,132.0,1
Choi Jae Rim,Choi Jae Rim,7.6,3049.0,974.0,1
Choi Jae Sub,Choi Jae Sub,7.6,522.0,7821.0,1
Choi Jae Sung,Choi Jae Sung,7.675,33499.25,40.25,4
